Date,City,State,AreaType,School,Fatalities,Wounded,Source,Desc,Year,Lat,Lon
9/26/2000,New Orleans,Louisiana,,-,0,2,Wikp,"Two 13 year-olds were initially charged with attempted first-degree murder in the shooting of 15 year-old William Pennington. Pennington, after being shot, managed to gain control of the gun and shoot one of the aggressors in the back. Charges were later reduced to Aggravated Battery.",2000,29.9510658,-90.0715323
10/23/2000,Los Angeles,California,urban,College,1,,Pah,,2000,34.0522342,-118.2436849
10/26/2000,Brooklyn,New York,urban,High School,1,,Pah,,2000,40.6781784,-73.9441579
10/27/2000,Memphis,Tennessee,urban,High School,1,,Pah,,2000,35.1495343,-90.0489801
12/1/2000,San Diego,California,,High School,0,1,Wikp,"A 15-year-old Junipero Serra High School student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries.",2000,32.715738,-117.1610838
1/10/2001,Oxnard,California,urban,High School,1,,Pah,,2001,34.1975048,-119.1770516
1/17/2001,Baltimore,Maryland,urban,High School,1,,Pah,,2001,39.2903848,-76.6121893
1/29/2001,Arlington,Texas,urban,Middle School,1,,Pah,,2001,32.735687,-97.1080656
3/2/2001,San Diego,California,urban,High School,0,,Pah,,2001,32.715738,-117.1610838
3/5/2001,Santee,California,,High School,2,13,Wikp,"Santana High School shooting: 15-year-old student killed two students, 14-year-old Bryan Zuckor, and 15-year-old Randy Gordon, at Santana High Schooland wounded thirteen others. He was arrested and convicted of murder and attempted murder. He was sentenced to life with the chance of parole after serving fifty years.",2001,32.8383828,-116.9739167
3/7/2001,Williamsport,Pennsylvania,,High School,0,1,Wikp,14-year-old student wounded fellow student Kimberly Marchese in the cafeteria of Bishop Neumann High School; she had been frequently teased and suffered from depression.,2001,41.2411897,-77.0010786
3/22/2001,El Cajon,California,,High School,0,5,Wikp,"18-year-old former student opened fire at Granite Hills High School, injuring five people. He was convicted of assault and sentenced to prison, where he committed suicide in 2002.",2001,32.7947731,-116.9625269
3/30/2001,Gary,Indiana,,High School,1,0,Wikp,"17-year-old fatally shot Neal Boyd, IV with one bullet to the head in a parking lot outside Lew Wallace High School.",2001,41.5933696,-87.3464271
4/3/2001,Klein,Texas,urban,Middle School,0,,Pah,,2001,30.0477196,-95.5324411
4/25/2001,Cleveland,Ohio,urban,High School,1,,Pah,,2001,41.49932,-81.6943605
5/15/2001,Ennis,Texas,suburban,High School,0,,Pah,,2001,32.3293111,-96.6252679
5/16/2001,Parkland,Washington,,College,2,0,Wikp,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun at Pacific Lutheran University by a 55-year-old man from Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.,2001,47.1558,-122.437
5/17/2001,Pierce County,Washington,urban,College,1,,Pah,,2001,47.0675877,-122.1295269
10/12/2001,Taylorsville,Utah,urban,High School,0,,Pah,,2001,40.6677248,-111.9388258
11/12/2001,Caro,Michigan,suburban,High School,0,,Pah,,2001,43.4911322,-83.396897
1/15/2002,New York City,New York,,High School,0,2,Wikp,"17-year-old wounded two students at Martin Luther King, Jr. High School in Manhattan, with a semi-automatic pistol. He was retaliating for the victims having harassed his girlfriend. In February 2003, shooter was sentenced to ten years in prison on charges of assault and attempted assault.",2002,40.7127753,-74.0059728
1/16/2002,Grundy,Virginia,,College,3,3,Wikp,"Appalachian School of Law shooting: Recently dismissed graduate student, 42-year-old, killed three at the Appalachian School of Law. 42-year-old dean Anthony Sutin, and 41-year-old professor Thomas Blackwell were killed along with 33-year-old student, Angela Dales. Three other students were also wounded. Shooter received three life sentences and an additional 28 years without the possibility of parole until 2005.",2002,37.2779,-82.099
2/20/2002,Milwaukee,Wisconsin,,High School,1,0,Wikp,"16-year-old Washington High School student, Joseph Johnson Jr., was killed by another student, when violence erupts between rival fans in the parking lot, after a basketball game between Vincent High School.",2002,43.0115,-87.9735
6/11/2002,Conception,Missouri,,-,3,2,Wikp,"71-year-old opened fire at random in the halls of Conception Abbey, a monastery in northwest Missouri.",2002,40.2428,-94.6869
7/26/2002,Charlotte,North Carolina,urban,Middle School,1,,Pah,,2002,35.2270869,-80.8431267
10/4/2002,San Antonio,Texas,urban,Middle School,1,,Pah,,2002,29.4241219,-98.4936282
10/7/2002,Bowie,Maryland,,Middle School,0,1,Wikp,"In the Beltway sniper attacks, one victim of several was 13-year-old Iran Brown, who was wounded as he arrived at Benjamin Tasker Middle School in Bowie, Maryland. His aunt, a nurse who had just dropped him off, rushed him to a hospital emergency room. Despite serious injuries, Brown survived the attack.",2002,39.0067768,-76.7791365
10/28/2002,Tucson,Arizona,,College,4,0,Wikp,"Failing nursing college student and Gulf War veteran, 40-years-old, killed three assistant professors of nursing at the University of Arizona, 50-year-old Robin Rogers, 44-year-old Cheryl McGaffic, and 45-year-old Barbara Monroe, before turning the gun on himself.",2002,32.2217429,-110.926479
10/29/2002,Jersey City,New Jersey,,High School,0,1,Wikp,"A 15-year-old student was shot in the abdomen and wounded inside a basement of Lincoln High School, during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.",2002,40.7282,-74.0776
11/7/2002,Liberty,Missouri,suburban,Elementary School,1,,Pah,,2002,39.2461138,-94.4191177
12/16/2002,Chicago,Illinois,urban,High School,1,,Pah,,2002,41.8781136,-87.6297982
3/23/2003,Meridian,Mississippi,suburban,High School,0,,Pah,,2003,32.3643098,-88.703656
4/10/2003,Walnut,California,suburban,High School,0,,Pah,,2003,34.0202894,-117.8653386
4/14/2003,New Orleans,Louisiana,,High School,1,3,Wikp,"John McDonogh High School shooting. 18-year-old and 17-year-old opened fire with an AK-47 and a handgun in the gymnasium of John McDonogh High School, killing a 15-year-old student and wounding three female students. One shooter was sentenced to life imprisonment, and the other was sentenced to fifteen years.",2003,29.9510658,-90.0715323
4/17/2003,Addison,Texas,suburban,Elementary School,1,,Pah,,2003,32.96179,-96.8291685
4/24/2003,Red Lion,Pennsylvania,,High School,2,0,Wikp,"14-year-old student entered Red Lion Area Junior High School armed with his stepfather's pistols. He killed the school's principal, Eugene Segro, before killing himself.",2003,39.9009334,-76.6058001
5/9/2003,Cleveland,Ohio,,College,1,2,Wikp,"On May 9, 2003, a 62-year-old business school alumnus of Case Western Reserve University, killed a graduate student and wounded a professor and another student using a semi-automatic rifle. He held the building and its nearly 100 occupants hostage for seven hours before being apprehended by a SWAT team. He was sentenced to life in prison.",2003,41.49932,-81.6943605
5/13/2003,Johnstown,Pennsylvania,urban,High School,1,,Pah,,2003,40.3267407,-78.9219698
6/4/2003,Wellsboro,Pennsylvania,suburban,Middle School,0,,Pah,,2003,41.7486838,-77.3005304
7/15/2003,Dallas,Texas,urban,High School,0,,Pah,,2003,32.7766642,-96.7969879
9/24/2003,Cold Spring,Minnesota,,High School,2,0,Wikp,"Rocori High School shooting: 15-year-old shot 15-year-old freshman Seth Bartell and 17-year-old senior Aaron Rollins at Rocori High School. Rollins was killed immediately, and Bartell died from his wounds sixteen days later. Shooter was sentenced to life in prison with the chance of parole in 2038.",2003,45.4536111,-94.4277778
10/30/2003,Washington,District Of Columbia,urban,High School,1,,Pah,,2003,38.9071923,-77.0368707
11/7/2003,Sugar Land,Texas,urban,High School,1,,Pah,,2003,29.6196787,-95.6349463
1/21/2004,Henderson,Nevada,urban,Elementary School,1,,Pah,,2004,36.0395247,-114.9817213
2/2/2004,District of Columbia,District Of Columbia,urban,High School,1,,Pah,,2004,38.9071923,-77.0368707
2/2/2004,Washington,D.C.,,High School,1,0,Wikp,"Shooter was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington.",2004,38.9071923,-77.0368707
2/9/2004,East Greenbush,New York,,-,0,1,Wikp,"Shooter in East Greenbush, New York fired two rounds from a shotgun, wounding one teacher. He was tackled by the assistant principal and charged with one count of attempted murder.",2004,42.5909135,-73.7017858
2/11/2004,Philadelphia,Pennsylvania,urban,Elementary School,1,,Pah,,2004,39.9525839,-75.1652215
3/17/2004,Joyce,Washington,rural,Middle School,0,,Pah,,2004,48.1361486,-123.7344094
5/7/2004,Randallstown,Maryland,,High School,0,4,Wikp,"Two students were charged with a school shooting that arose from a dispute after a basketball game at Randallstown High School. Four persons were injured, two seriously. One student was paralyzed from the waist down.",2004,39.3673278,-76.7952525
5/24/2004,Salt Lake City,Utah,urban,High School,1,,Pah,,2004,40.7607793,-111.8910474
8/30/2004,Maywood,Illinois,suburban,High School,1,,Pah,,2004,41.8791979,-87.8431155
10/4/2004,Memphis,Tennessee,urban,High School,0,,Pah,,2004,35.1495343,-90.0489801
11/22/2004,Philadelphia,Pennsylvania,urban,High School,1,,Pah,,2004,39.9525839,-75.1652215
12/10/2004,Nine Mile Falls,Washington,suburban,High School,1,,Pah,,2004,47.7795103,-117.5515185
1/6/2005,Philadelphia,Pennsylvania,urban,High School,1,,Pah,,2005,39.9525839,-75.1652215
2/8/2005,Chicago,Illinois,,High School,0,1,Wikp,An 18-year-old student at Bowen High School was shot in the leg as she left the school around 2:30 p.m.,2005,41.8781136,-87.6297982
3/2/2005,Dover,Tennessee,,High School,1,0,Wikp,"14-year-old killed his bus driver, 47-year-old Joyce Gregory, as she stopped to pick him up. Gregory had earlier reported the shooter for using snuff on the school bus. He was given a life sentence.",2005,36.4878,-87.8384
3/21/2005,Red Lake,Minnesota,,High School,10,7,Wikp,"Red Lake shootings: 16-year-old student killed his grandfather and grandfather's companion at their home, where he had been living, at the Red Lake Indian Reservation. He drove to Red Lake Senior High School. Armed with his grandfather's police weapons, the shooter killed five students, one teacher, and one security guard, wounding seven others, before committing suicide.",2005,47.876346,-95.0169401
5/17/2005,Lower Allen Township,Pennsylvania,suburban,Elementary School,1,,Pah,,2005,40.2112939,-76.9354979
9/13/2005,Chicago,Illinois,,High School,0,1,Wikp,"At Harlan Community Academy High School, a fight broke out between two 15-year-old boys in the gymnasium. The shooter took out a pistol, shooting the other youth in the leg. A police officer on duty at the school arrested the gunman. The suspected shooter was charged as an adult with aggravated battery with a firearm.",2005,41.8781136,-87.6297982
11/8/2005,Jacksboro,Tennessee,,High School,1,2,Wikp,"Campbell County High School shooting: Inside the Campbell County High School office, the 15-year-old shot the school principal, Gary Seale. He shot assistant principals Ken Bruce and Jim Pierce. Bruce later died from his wound. Shooter was sentenced to forty-five years in prison with chance of parole after twenty-nine years.",2005,36.3300793,-84.1838156
1/13/2006,Birmingham,Alabama,urban,High School,1,,Pah,,2006,33.5206608,-86.80249
1/13/2006,Longwood,Florida,,Middle School,0,1,Wikp,"15-year-old took a pellet gun to class at Milwee Middle School. After refusing to drop the weapon, he was shot when he pointed it at a police officer.",2006,28.7030519,-81.3384011
2/23/2006,Roseburg,Oregon,,High School,0,1,Wikp,"14-year-old freshman shot student 16-year-old Joseph Monti, four times in the back with a semi-automatic handgun at Roseburg High School. Shooter walked away from the school campus, and was confronted near a restaurant by six police officers. He threatened suicide but was persuaded to surrender. He was found guilty of attempted murder and assault in July 2006, and will be held in prison until he turns twenty five years old.",2006,43.216505,-123.3417381
3/14/2006,Reno,Nevada,,Middle School,0,2,Wikp,"Pine Middle School shooting: In the hallway of Pine Middle School, 14-year-old injured two 14-year-old classmates, Alexander Rueda and Kenzie McKeon, with a revolver belonging to his parents. Two students received minor wounds. Shooter was subdued by a physical education teacher. The youth was arrested and charged as an adult for attempted murder, use of a deadly weapon and use of a firearm by a minor. He later pleaded guilty to charges of two counts of battery with a deadly weapon, and was sentenced as a juvenile. Shooter was sentenced to house arrest until he completed two-hundred hours of community service.",2006,39.5296329,-119.8138027
6/5/2006,Venice,California,suburban,High School,1,,Pah,,2006,33.9850469,-118.4694832
8/24/2006,Essex Junction,Vermont,,Elementary School,2,3,Wikp,"The shooter, 26, shot his girlfriend's mother, Linda Lambesis, 57 at her home and from there he went to Essex Elementary School where Andrea, his girlfriend, worked. After he arrived at the elementary school, which was not in session at the time, he shot and killed Mary Alicia Shanks, 56, and shot Mary Snedeker, 52, nonfatally. He left the school and allegedly shot Chad Johansen, 26 nonfatally. He then turned the gun on himself, but did not die as a result.",2006,44.4906,-73.111
8/30/2006,Hillsborough,North Carolina,,High School,0,2,Wikp,"After shooting and killing his father, the teenage shooter went to his high school, where he wounded two students. He was reportedly obsessed with the Columbine shootings and had written an email to the current Columbine high school principal before committing his own crime.",2006,36.0754183,-79.0997347
9/2/2006,Shepherdstown,West Virginia,,College,3,0,Wikp,"49-year-old killed himself and his two sons, 26-year-old Logan P. Pennington, 24-year-old Benjamin M. Pennington, during a visit to the campus of Shepherd University.",2006,39.4300996,-77.8041609
9/17/2006,Pittsburgh,Pennsylvania,,-,0,5,Wikp,"Five Duquesne basketball players were shot early Sunday morning during an apparent act of random violence on campus, leaving three hospitalized‚ two of them in critical condition.",2006,40.4406248,-79.9958864
9/27/2006,Bailey,Colorado,,High School,2,0,Wikp,"Platte Canyon High School hostage crisis: 53-year-old drifter walked into Platte Canyon High School and took six girls hostage. He sexually assaulted them. As a SWAT team stormed the classroom, he killed 16-year-old Emily Keyes, then took his own life.",2006,39.4060536,-105.4786412
9/29/2006,Cazenovia,Wisconsin,,High School,1,0,Wikp,"Weston High School shooting: At around 8 a.m., the 15-year-old freshman shooter entered Weston High School. He aimed a 20-gauge shotgun at social studies teacher, Chuck Keller, before it was wrestled from him by school custodian, Dave Thompson. Shooter then shot 49-year-old high school principal, John Alfred Klang, with a .22 caliber revolver. Klang died later that afternoon. Shooter was charged and convicted of murder, and is serving a life sentence. He will be eligible for parole in 2037.",2006,43.5230345,-90.1962379
10/2/2006,Nickel Mines,Pennsylvania,,High School,6,3,Wikp,"West Nickel Mines School shooting: 32-year-old milk truck driver killed five Amish girls and wounded five others before killing himself in an Amish school in the hamlet of Nickel Mines, in Bart Township, Lancaster County.",2006,39.9592143,-76.0804172
10/9/2006,Joplin,Missouri,,Middle School,0,0,Wikp,"13-year-old student fired one shot from a Mac-90 rifle at a hallway ceiling at Memorial Middle School. The gunshot struck a water pipe, and nobody was injured. He also tried repeatedly to shoot principal Stephen Gilbreth at near-point-blank range as Gilbreth ushered him out of the school. Joplin police say the attempt was foiled by an improperly seated ammunition clip in the rifle. The principal was not injured. White was tried as an adult on charges of assault and firearms possession, and in 2009 he was sentenced to ten years of prison.",2006,37.0842271,-94.513281
10/17/2006,Katy,Texas,suburban,High School,1,,Pah,,2006,29.7857853,-95.8243956
10/29/2006,Fresno,California,urban,Elementary School,1,,Pah,,2006,36.7468422,-119.7725868
11/28/2006,Houston,Texas,urban,High School,1,,Pah,,2006,29.7604267,-95.3698028
12/12/2006,Erdenheim,Pennsylvania,rural,Middle School,1,,Pah,,2006,40.0909252,-75.2156845
1/3/2007,Tacoma,Washington,,High School,1,0,Wikp,"18-year-old student killed 17-year-old Samnang Kok, in the hallways of Henry Foss High School following a personal disagreement. In 2009, the shooter was sentenced to 23 years in prison on a charge of second-degree murder.",2007,47.2528768,-122.4442906
2/8/2007,Prineville,Oregon,suburban,High School,1,,Pah,,2007,44.2998485,-120.8344664
3/7/2007,Midland,Michigan,urban,High School,0,,Pah,,2007,43.6155825,-84.2472116
3/7/2007,Greenville,Texas,suburban,High School,0,,Pah,,2007,33.1384488,-96.1108066
3/7/2007,Compton,California,,High School,0,1,Wikp,"During an argument with several non-students and students, a student was shot in the elbow and wounded in the eating area at Centennial High School. The shooting occurred an hour after classes were dismissed, and students in after-school activities were sent home.",2007,33.8958492,-118.2200712
3/24/2007,Greensboro,North Carolina,urban,College,0,,Pah,,2007,36.0726354,-79.7919754
4/2/2007,Seattle,Washington,urban,College,1,,Pah,,2007,47.6062095,-122.3320708
4/10/2007,Gresham,Oregon,urban,High School,0,,Pah,,2007,45.5059203,-122.4486119
4/16/2007,Blacksburg,Virginia,,College,33,23,Wikp,"Virginia Tech shooting: 23-year-old student killed thirty-two students and faculty members at Virginia Tech, and wounded another seventeen students and faculty members in two separate attacks before committing suicide. The incident is the third-deadliest mass shooting by a single gunman in modern U.S. history.",2007,37.2295733,-80.4139393
9/21/2007,Dover,Delaware,urban,College,1,,Pah,,2007,39.158168,-75.5243682
9/28/2007,Oroville,California,suburban,High School,0,,Pah,,2007,39.5137752,-121.556359
9/30/2007,Memphis,Tennessee,urban,College,1,,Pah,,2007,35.1495343,-90.0489801
10/10/2007,Cleveland,Ohio,,High School,1,4,Wikp,"SuccessTech Academy shooting: A 14-year-old suspended student, returned to SuccessTech Academy, where he fired shots at people inside the school building, wounding two teachers and two students. He shot himself in the head, committing suicide.",2007,41.49932,-81.6943605
11/6/2007,Miami Gardens,Florida,,High School,0,1,Wikp,"43-year-old 11th grade algebra teacher, Sergio Miranda, was shot by 19-year-old student, outside Miami Carol City Senior High School during a robbery but was expected to survive. In 2011, The shooter received a life sentence.",2007,25.9420377,-80.2456045
1/15/2008,Putnam City,Oklahoma,suburban,High School,0,,Pah,,2008,35.521446,-97.608652
1/16/2008,Cleveland,Ohio,urban,High School,0,,Pah,,2008,41.49932,-81.6943605
1/16/2008,Charlotte,North Carolina,urban,High School,0,,Pah,,2008,35.2270869,-80.8431267
2/4/2008,Memphis,Tennessee,,High School,0,1,Wikp,"At Hamilton High School, a student shot a 16-year-old student in the leg during a classroom argument over rap music. The victim's injury was not life-threatening.",2008,35.1495343,-90.0489801
2/7/2008,Portsmouth,Ohio,suburban,Elementary School,0,,Pah,,2008,38.7317431,-82.9976742
2/8/2008,Baton Rouge,Louisiana,,College,3,0,Wikp,A 23-year-old nursing student at Louisiana Technical College killed two classmates and herself in a second floor classroom.,2008,30.4582829,-91.1403196
2/11/2008,Memphis,Tennessee,,High School,0,1,Wikp,"Following a feud that started off campus earlier in the week, a 19-year-old senior was shot by a 17-year-old sophomore during a gym class held in the cafeteria with about 75 other students at Mitchell High School, before handing the gun to a coach making no attempt to flee. The victim suffered at least two gunshot wounds and was in critical condition, the suspected shooter was in custody. ""He walked up to him, shot him, and made a statement to the coach that 'It's over now,' "", said principal, Daniel Ware.",2008,35.1495343,-90.0489801
2/12/2008,Oxnard,California,,High School,1,0,Wikp,"Murder of Larry King: 14-year-old shot 15-year-old Lawrence ""Larry"" King, twice in the head in the computer laboratory of E.O. Green Junior High School. Shooter was apprehended in a nearby neighborhood. King, who was openly homosexual, died two days later. Shooter was initially charged with a hate crime, but that charge was dropped. Shooter pleaded guilty to second-degree murder and was sentenced to 21 years in prison.",2008,34.1975048,-119.1770516
2/14/2008,DeKalb,Illinois,,College,6,21,Wikp,"Northern Illinois University shooting: 27-year-old shot multiple people in a lecture hall of Northern Illinois University, killing five and injuring 21, before taking his own life. Shooter was not enrolled at the university, but had attended in the years prior to the attack.",2008,41.9294736,-88.7503647
2/23/2008,Jonesboro,Arkansas,urban,College,0,,Pah,,2008,35.8422967,-90.704279
2/27/2008,Little Rock,Arkansas,urban,College,0,,Pah,,2008,34.7464809,-92.2895948
2/28/2008,Miami Gardens,Florida,urban,High School,0,,Pah,,2008,25.9420377,-80.2456045
3/6/2008,Mobile,Alabama,urban,High School,1,,Pah,,2008,30.6953657,-88.0398912
3/7/2008,Chicago,Illinois,urban,High School,1,,Pah,,2008,41.8781136,-87.6297982
4/5/2008,Chicago,Illinois,urban,High School,1,,Pah,,2008,41.8781136,-87.6297982
4/16/2008,Fresno,California,urban,High School,1,,Pah,,2008,36.7468422,-119.7725868
4/24/2008,Omaha,Nebraska,urban,Middle School,0,,Pah,,2008,41.2523634,-95.9979883
4/29/2008,Washington,District of Columbia,urban,College,0,,Pah,,2008,38.9071923,-77.0368707
7/24/2008,Phoenix,Arizona,urban,College,0,,Pah,,2008,33.4483771,-112.0740373
8/14/2008,Federal Way,Washington,,Middle School,1,0,Wikp,"26-year-old Omero Mendez was waiting at the Lakota Middle School campus to pick up his girlfriend's son. He was confronted by 16-year-old and two of his friends, driving in an SUV. Shooter flashed gang signs at Mendez, and shot him once in the head. Mendez later died of his injuries. Shooter was arrested a few days later in Seattle and was charged with murder. He pleaded guilty to murder and weapon enhancements, and was sentenced to eighteen years in prison.",2008,47.3223221,-122.3126222
8/21/2008,Knoxville,Tennessee,,High School,1,0,Wikp,"At Central High School, 15-year-old student killed 15-year-old Ryan McDonald. In 2011, shooter was sentenced to thirty years in prison after pleading guilty to murder in a plea agreement.",2008,35.9606384,-83.9207392
8/29/2008,Portland,Oregon,urban,High School,0,,Pah,,2008,45.5230622,-122.6764815
9/2/2008,Willoughby,Ohio,,High School,0,0,Wikp,"A 15-year-old student brought a handgun into South High School, and shot two rounds, one into the ceiling and one shattering a trophy case. The student then put the gun to his head. Then Assistant Principal Jeff Lyons talked the student out of doing any harm.",2008,41.6397696,-81.4065011
10/13/2008,San Antonio,Texas,urban,College,1,,Pah,,2008,29.4241219,-98.4936282
10/16/2008,Detroit,Michigan,,High School,1,3,Wikp,"16-year-old Christopher Walker, was killed, and three other teenagers were seriously wounded during a drive-by shooting near Henry Ford High School, soon after classes let out. Three teenagers were arrested and charged in connection with the shooting. The shooter was sentenced to life without parole, and an associate was sentenced to forty-two years of prison.",2008,42.331427,-83.0457538
10/20/2008,Acton,California,suburban,High School,1,,Pah,,2008,34.469994,-118.1967418
10/21/2008,Indianapolis,Indiana,urban,High School,1,,Pah,,2008,39.768403,-86.158068
10/26/2008,Conway,Arkansas,,College,2,1,Wikp,"University of Central Arkansas shootings: Four young men fatally shot two students, 18-year-old Ryan Henderson, and 19-year-old Chavares Block, and wounded a 19-year-old campus visitor in the leg, outside the Arkansas Hall dormitory of University of Central Arkansas.",2008,35.0886963,-92.4421011
10/31/2008,Stockton Springs,Maine,rural,Elementary School,0,,Pah,,2008,44.4895196,-68.8569762
11/13/2008,Fort Lauderdale,Florida,,High School,1,0,Wikp,"15-year-old Amanda Collette, was killed in the hallway at Dillard High School. The shooter was sentenced to twenty-five years to life on a first-degree murder charge.",2008,26.1224386,-80.1373174
11/15/2008,St. George,Utah,urban,High School,1,,Pah,,2008,37.0965278,-113.5684164
11/21/2008,Savannah,Georgia,urban,College,0,,Pah,,2008,32.0835407,-81.0998342
1/8/2009,New Castle,Delaware,suburban,High School,0,,Pah,,2009,39.6620397,-75.5668166
1/9/2009,Chicago,Illinois,,High School,0,5,Wikp,"After attendees were leaving a basketball game at Dunbar High School, a truck pulled over and someone inside fired shots at the crowd, wounding five people, three critically. 18-year-old shooter was arrested and charged a week later with five counts of felony aggravated battery with a firearm. Police believe that the attack was gang-related.",2009,41.8781136,-87.6297982
1/23/2009,Cahokia,Illinois,suburban,High School,1,,Pah,,2009,38.5708849,-90.1901113
2/7/2009,Houston,Texas,urban,College,1,,Pah,,2009,29.7604267,-95.3698028
2/11/2009,El Monte,California,urban,Elementary School,0,,Pah,,2009,34.0686206,-118.0275667
2/17/2009,Detroit,Michigan,urban,High School,0,,Pah,,2009,42.331427,-83.0457538
3/6/2009,Fayetteville,North Carolina,urban,High School,0,,Pah,,2009,35.0526641,-78.8783585
3/10/2009,Jacksonville,Florida,urban,High School,2,,Pah,,2009,30.3321838,-81.655651
4/10/2009,Dearborn,Michigan,urban,College,1,,Pah,,2009,42.3222599,-83.1763145
4/24/2009,Houston,Texas,urban,College,1,,Pah,,2009,29.7604267,-95.3698028
4/26/2009,Hampton,Virginia,,College,0,3,Wikp,"18-year-old shooter, a former student of Hampton University, followed a 43-year-old pizza delivery man into his former dormitory. Armed with three guns, he wounded the delivery man, then the dorm monitor. Lastly, Maye shot himself in a suicide attempt. He survived and was convicted of two charges of malicious wounding, two counts of using a gun in a felony; burglary; and shooting in an occupied building. He was sentenced to fourteen years of prison in November 2009, and was ordered by a judge to pay more than $62,000 in restitution to his victims for lost wages.",2009,37.0298687,-76.3452218
5/1/2009,Sheboygan,Wisconsin,urban,High School,0,,Pah,,2009,43.7508284,-87.71453
5/5/2009,Canandaigua,New York,suburban,High School,0,,Pah,,2009,42.887535,-77.2816984
5/18/2009,Larose,Louisiana,suburban,Middle School,0,,Pah,,2009,29.572438,-90.3817483
5/18/2009,Cambridge,Massachusetts,,College,1,0,Wikp,"A 20-year-old, 23-year-old, and 19-year-old invited 21-year-old Justin Cosby, of Cambridge, into a Harvard College dormitory. After trying to rob him of a pound of marijuana, they shot him. One of the shooters turned himself in four days later. He was convicted of murder. His partners pleaded guilty to armed robbery and manslaughter. His girlfriend, 21-years-old, pleaded guilty to accessory after the fact, firearm possession, and misleading a grand jury.",2009,42.3736158,-71.1097335
5/18/2009,Larose,Louisiana,,Middle School,1,0,Wikp,"15-year-old Larose-Cut Off Middle School student carried his backpack to a restroom, where he put on camouflage clothes, took out a semi-automatic handgun before storming into a classroom. He was going to shoot his school teacher, Jessica Plaisance, but the gun did not fire. He returned to the restroom and shot himself in the head, dying a week later of his wounds.",2009,29.572438,-90.3817483
6/9/2009,Lexington,Kentucky,urban,Middle School,1,,Pah,,2009,38.0405837,-84.5037164
6/16/2009,San Francisco,California,,High School,0,3,Wikp,"After students were being let out of International Studies Academy on the first day of summer school classes, a man left a car and opened fire, wounding three people, including a 17-year-old female student. An 18-year-old man was arrested for being an accessory in the crime.",2009,37.7749295,-122.4194155
6/24/2009,Parkersburg,Iowa,rural,High School,1,,Pah,,2009,42.5774797,-92.7868634
9/2/2009,San Bruno,California,suburban,College,0,,Pah,,2009,37.6304904,-122.4110835
9/3/2009,Atlanta,Georgia,urban,College,1,,Pah,,2009,33.7489954,-84.3879824
9/3/2009,San Bruno,California,,College,0,1,Wikp,A 20-year-old student was wounded in the parking lot of Skyline College after an argument between him and other men. The college campus was placed on lockdown. Three San Francisco residents were each arrested and charged with felony firearm offenses.,2009,37.6304904,-122.4110835
9/8/2009,Stamford,Connecticut,urban,High School,0,,Pah,,2009,41.0534302,-73.5387341
9/14/2009,Grand Rapids,Michigan,urban,High School,0,,Pah,,2009,42.9633599,-85.6680863
9/16/2009,Henrico,Virginia,urban,High School,0,,Pah,,2009,37.5059332,-77.3324425
10/16/2009,Carolina Forest,South Carolina,suburban,High School,1,,Pah,,2009,33.7532424,-78.9175088
10/16/2009,Conway,South Carolina,,High School,1,0,Wikp,"16-year-old student, Trevor Varinecz was killed by a school resource officer after allegedly stabbing the officer.",2009,33.836,-79.0478
10/30/2009,Long Beach,California,urban,High School,1,,Pah,,2009,33.7700504,-118.1937395
11/16/2009,Dallas,Texas,urban,Elementary School,0,,Pah,,2009,32.7766642,-96.7969879
12/2/2009,Brockton,Massachusetts,urban,High School,0,,Pah,,2009,42.0834335,-71.0183787
12/8/2009,Woodbridge,Virginia,urban,College,0,,Pah,,2009,38.6581722,-77.2497049
12/11/2009,Shreveport,Louisiana,urban,High School,0,,Pah,,2009,32.5251516,-93.7501789
1/7/2010,Phoenix,Arizona,urban,High School,0,,Pah,,2010,33.4483771,-112.0740373
1/20/2010,Livingston,Alabama,suburban,High School,1,,Pah,,2010,32.5843025,-88.1872475
2/5/2010,Madison,Alabama,,Middle School,1,0,Wikp,"14-year-old student killed 14-year-old Todd Brown at Discovery Middle School as classes were changing. The shooting was possibly related to gang activitiy. In May 2013, shooter pleaded guilty to the murder and was sentenced to thirty years of prison. After he is released from prison, he is likely to be deported to his native Pakistan.",2010,34.6992579,-86.7483318
2/10/2010,Knoxville,Tennessee,urban,Elementary School,0,,Pah,,2010,35.9606384,-83.9207392
2/12/2010,Huntsville,Alabama,,College,3,3,Wikp,"2010 University of Alabama in Huntsville shooting: 44-year-old biology professor killed the chairman of the biology department, 52-year-old Gopi K. Podila, and biology professors, 50-year-old, Maria Ragland Davis and 52-year-old Adriel D. Johnson. She also wounded biology professors, Luis Rogelio Cruz-Vera and Joseph G. Leahy, and staff assistant, Stephanie Monticciolo.",2010,34.7303688,-86.5861037
